,v2_term_x,description,v3_term,v2_term_y,unk,icd10_term,snomed_concept_id,icd10_code,category,concept_id_ph,concept_version_id_ph,phenotype_id,phenotype_version_id,phenotype_name,disease,description_ph
20,G25..,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),YavaD,G25..,XaZWm,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
21,G25..,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),YavaD,G25..,XaZWm,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
22,G25..,Stage 1 hypertension,YavdS,G25..,XaZWm,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
23,G25..,Stage 1 hypertension,YavdS,G25..,XaZWm,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
24,G250.,Stage 1 hypertension (NICE 2011) without evidence of end organ damage,Yawxk,G250.,Xab9L,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
25,G250.,Stage 1 hypertension (NICE 2011) without evidence of end organ damage,Yawxk,G250.,Xab9L,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
26,G251.,Stage 1 hypertension (NICE 2011) with evidence of end organ damage,Yawxl,G251.,Xab9M,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
27,G251.,Stage 1 hypertension (NICE 2011) with evidence of end organ damage,Yawxl,G251.,Xab9M,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
28,G26..,Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011),YavaE,G26..,XaZWn,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
29,G26..,Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011),YavaE,G26..,XaZWn,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
30,G26..,Severe hypertension,YavdR,G26..,XaZWn,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
31,G26..,Severe hypertension,YavdR,G26..,XaZWn,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
32,G27..,Hypertension resistant to drug therapy,Yavel,G27..,XaZbT,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
33,G27..,Hypertension resistant to drug therapy,Yavel,G27..,XaZbT,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
34,G28..,Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),YavfE,G28..,XaZbz,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
35,G28..,Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),YavfE,G28..,XaZbz,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
36,G2z..,Hypertensive disease NOS,Y200e,.G3Z.,G2z..,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
37,G2z..,Hypertensive disease NOS,Y200e,.G3Z.,G2z..,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
38,G21..,Hypertensive heart disease,Y20Cb,.G32.,G21..,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
39,G21..,Hypertensive heart disease,Y20Cb,.G32.,G21..,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
40,G21..,Hypertensive heart disease,Y20Cb,.G32.,G21..,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
41,G21z.,Hypertensive heart disease NOS,Y20Ck,G21zz,G21z.,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
42,G21z.,Hypertensive heart disease NOS,Y20Ck,G21zz,G21z.,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
43,G21z.,Hypertensive heart disease NOS,Y20Ck,G21zz,G21z.,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
44,G21zz,Hypertensive heart disease NOS,Y20Ck,G21zz,G21z.,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
45,G21zz,Hypertensive heart disease NOS,Y20Ck,G21zz,G21z.,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
46,G21zz,Hypertensive heart disease NOS,Y20Ck,G21zz,G21z.,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
47,G21z0,Hypertensive heart disease NOS without congestive cardic failure,Y20Cl,G21z0,XE0Ue,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
48,G21z0,Hypertensive heart disease NOS without congestive cardic failure,Y20Cl,G21z0,XE0Ue,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
49,G21z0,Hypertensive heart disease NOS without congestive cardic failure,Y20Cl,G21z0,XE0Ue,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
50,G21z0,Cardiomegaly - hypertensive,Y20Cm,G21z0,XM1Qp,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
51,G21z0,Cardiomegaly - hypertensive,Y20Cm,G21z0,XM1Qp,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
52,G21z0,Cardiomegaly - hypertensive,Y20Cm,G21z0,XM1Qp,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
53,G5y3.,Cardiomegaly,Y201E,.G6B5,XE0VA,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
54,G5y3.,Cardiomegaly,Y201E,.G6B5,XE0VA,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
55,G5y3.,Cardiomegaly,Y201E,.G6B5,XE0VA,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
56,G5y3.,Cardiomegaly,Y201E,G5y3.,XE0VA,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
57,G5y3.,Cardiomegaly,Y201E,G5y3.,XE0VA,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
58,G5y3.,Cardiomegaly,Y201E,G5y3.,XE0VA,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
59,G5y3.,Dilatation - cardiac,Y201F,G5y3.,XM1Qo,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
60,G5y3.,Dilatation - cardiac,Y201F,G5y3.,XM1Qo,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
61,G5y3.,Dilatation - cardiac,Y201F,G5y3.,XM1Qo,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
62,G5y34,Ventricular hypertrophy,Y201K,.G6B5,XE0VB,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
63,G5y34,Ventricular hypertrophy,Y201K,.G6B5,XE0VB,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
64,G5y34,Ventricular hypertrophy,Y201K,.G6B5,XE0VB,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
65,G5y34,Ventricular hypertrophy,Y201K,G5y34,XE0VB,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
66,G5y34,Ventricular hypertrophy,Y201K,G5y34,XE0VB,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
67,G5y34,Ventricular hypertrophy,Y201K,G5y34,XE0VB,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
68,G5y34,Left ventricular hypertrophy,Y201L,.G6B5,X776j,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
69,G5y34,Left ventricular hypertrophy,Y201L,.G6B5,X776j,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
70,G5y34,Left ventricular hypertrophy,Y201L,.G6B5,X776j,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
71,G5y34,Left ventricular hypertrophy,Y201L,G5y34,X776j,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
72,G5y34,Left ventricular hypertrophy,Y201L,G5y34,X776j,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
73,G5y34,Left ventricular hypertrophy,Y201L,G5y34,X776j,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
74,G5y36,Right ventricular dilatation,Y7Hmo,G5y36,X77yL,I119,38341003,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
75,G5y36,Right ventricular dilatation,Y7Hmo,G5y36,X77yL,I119,253522006,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
76,G5y36,Right ventricular dilatation,Y7Hmo,G5y36,X77yL,I119,59621000,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
77,G21z0,Cardiomegaly - hypertensive,Y20Cm,G21z0,XM1Qp,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
78,G21z0,Cardiomegaly - hypertensive,Y20Cm,G21z0,XM1Qp,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
79,G58..,Heart failure,Y20Bq,.G6A.,G58..,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
80,G58..,Heart failure,Y20Bq,.G6A.,G58..,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
81,G58..,Cardiac failure,Y20Br,.G6A.,G58..,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
82,G58..,Cardiac failure,Y20Br,.G6A.,G58..,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
83,G581.,Left ventricular failure,Y20C2,.G6A2,XE2QG,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
84,G581.,Left ventricular failure,Y20C2,.G6A2,XE2QG,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
85,G581.,Left ventricular failure,Y20C2,G581.,XE2QG,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
86,G581.,Left ventricular failure,Y20C2,G581.,XE2QG,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
87,G581.,Pulmonary oedema - acute,YMIOu,G581.,XE2QG,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
88,G581.,Pulmonary oedema - acute,YMIOu,G581.,XE2QG,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
89,G583.,Heart failure with normal ejection fraction,Yatsi,G583.,XaWyi,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
90,G583.,Heart failure with normal ejection fraction,Yatsi,G583.,XaWyi,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
91,G583.,HFNEF - heart failure with normal ejection fraction,YatxI,G583.,XaWyi,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
92,G583.,HFNEF - heart failure with normal ejection fraction,YatxI,G583.,XaWyi,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
93,G583.,Heart failure with preserved ejection fraction,YavpN,G583.,XaWyi,I110,238795008,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
94,G583.,Heart failure with preserved ejection fraction,YavpN,G583.,XaWyi,I110,843821000000102,I11,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive heart disease
95,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
96,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
97,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
98,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,284961000119106,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
99,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,50808002,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
100,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,194773000,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
101,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,86341008,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
102,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,14973001,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
103,G22..,Hypertensive renal disease,Y2011,.G33.,G22..,I129,309861000000100,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
104,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
105,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
106,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
107,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,284961000119106,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
108,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,50808002,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
109,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,194773000,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
110,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,86341008,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
111,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,14973001,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
112,G22..,Hypertensive renal disease,Y2011,.G33.,XE0Uf,I129,309861000000100,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
113,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
114,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
115,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
116,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,284961000119106,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
117,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,50808002,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
118,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,194773000,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
119,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,86341008,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
120,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,14973001,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
121,G22..,Hypertensive renal disease,Y2011,G22..,XE0Uf,I129,309861000000100,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
122,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
123,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
124,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
125,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,284961000119106,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
126,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,50808002,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
127,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,194773000,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
128,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,86341008,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
129,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,14973001,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
130,G22..,Nephrosclerosis,YMIOr,.G33.,G22..,I129,309861000000100,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
131,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
132,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
133,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
134,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,284961000119106,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
135,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,50808002,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
136,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,194773000,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
137,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,86341008,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
138,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,14973001,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
139,G22..,Nephrosclerosis,YMIOr,.G33.,XE0Uf,I129,309861000000100,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
140,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
141,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
142,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
143,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,284961000119106,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
144,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,50808002,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
145,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,194773000,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
146,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,86341008,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
147,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,14973001,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
148,G22..,Nephrosclerosis,YMIOr,G22..,XE0Uf,I129,309861000000100,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
149,G22z.,Hypertensive renal disease NOS,Y2015,G22z.,XE0Ug,I129,444977005,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
150,G22z.,Hypertensive renal disease NOS,Y2015,G22z.,XE0Ug,I129,266228004,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
151,G22z.,Hypertensive renal disease NOS,Y2015,G22z.,XE0Ug,I129,56218007,I12,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Hypertensive renal disease
