,v2_term_x,description,v3_term,v2_term_y,unk,icd10_term,snomed_concept_id
136,12C3.,FH: Ischaemic heart dis. >60,Ya01i,.12C3,XE0oH,Z824,413302005
137,12C3.,FH: Ischaemic heart dis. >60,Ya01i,.12C3,XE0oH,Z824,315622004
138,12C3.,FH: Ischaemic heart dis. >60,Ya01i,12C3.,XE0oH,Z824,416291000000108
139,12C3.,FH: Ischaemic heart dis. >60,Ya01i,12C3.,XE0oH,Z824,413302005
140,12C3.,FH: Ischaemic heart dis. >60,Ya01i,12C3.,XE0oH,Z824,315622004
141,12C3.,FH: Ischaemic heart dis. >60,Ya01i,XE0oH,XE0oH,Z824,416291000000108
142,12C3.,FH: Ischaemic heart dis. >60,Ya01i,XE0oH,XE0oH,Z824,413302005
143,12C3.,FH: Ischaemic heart dis. >60,Ya01i,XE0oH,XE0oH,Z824,315622004
144,12C3.,FH: Myocardial infarction > 60,Ya0VE,12C3.,XM1Jy,Z824,416291000000108
145,12C3.,FH: Myocardial infarction > 60,Ya0VE,12C3.,XM1Jy,Z824,413302005
146,12C3.,FH: Myocardial infarction > 60,Ya0VE,12C3.,XM1Jy,Z824,315622004
147,12C3.,FH: Myocardial infarction > 60,Ya0VE,XM1Jy,XM1Jy,Z824,416291000000108
148,12C3.,FH: Myocardial infarction > 60,Ya0VE,XM1Jy,XM1Jy,Z824,413302005
149,12C3.,FH: Myocardial infarction > 60,Ya0VE,XM1Jy,XM1Jy,Z824,315622004
150,12C3.,FH: Angina > 60yrs,Ya0VC,12C3.,XM1Xd,Z824,416291000000108
151,12C3.,FH: Angina > 60yrs,Ya0VC,12C3.,XM1Xd,Z824,413302005
152,12C3.,FH: Angina > 60yrs,Ya0VC,12C3.,XM1Xd,Z824,315622004
153,12C3.,FH: Angina > 60yrs,Ya0VC,XM1Xd,XM1Xd,Z824,416291000000108
154,12C3.,FH: Angina > 60yrs,Ya0VC,XM1Xd,XM1Xd,Z824,413302005
155,12C3.,FH: Angina > 60yrs,Ya0VC,XM1Xd,XM1Xd,Z824,315622004
156,12C5.,FH: Myocardial infarction,Ya01k,.12C5,XE0oI,Z824,416291000000108
157,12C5.,FH: Myocardial infarction,Ya01k,.12C5,XE0oI,Z824,413302005
158,12C5.,FH: Myocardial infarction,Ya01k,.12C5,XE0oI,Z824,315622004
159,12C5.,FH: Myocardial infarction,Ya01k,12C5.,XE0oI,Z824,416291000000108
160,12C5.,FH: Myocardial infarction,Ya01k,12C5.,XE0oI,Z824,413302005
161,12C5.,FH: Myocardial infarction,Ya01k,12C5.,XE0oI,Z824,315622004
162,12C5.,FH: Coronary thrombosis,Ya0VH,.12C5,XM1Jz,Z824,416291000000108
163,12C5.,FH: Coronary thrombosis,Ya0VH,.12C5,XM1Jz,Z824,413302005
164,12C5.,FH: Coronary thrombosis,Ya0VH,.12C5,XM1Jz,Z824,315622004
165,12C5.,FH: Coronary thrombosis,Ya0VH,12C5.,XM1Jz,Z824,416291000000108
166,12C5.,FH: Coronary thrombosis,Ya0VH,12C5.,XM1Jz,Z824,413302005
167,12C5.,FH: Coronary thrombosis,Ya0VH,12C5.,XM1Jz,Z824,315622004
168,12C5.,FH: Ischaemic heart disease,Ya0VI,.12C5,Xa6aj,Z824,416291000000108
169,12C5.,FH: Ischaemic heart disease,Ya0VI,.12C5,Xa6aj,Z824,413302005
170,12C5.,FH: Ischaemic heart disease,Ya0VI,.12C5,Xa6aj,Z824,315622004
171,12C5.,FH: Ischaemic heart disease,Ya0VI,12C5.,Xa6aj,Z824,416291000000108
172,12C5.,FH: Ischaemic heart disease,Ya0VI,12C5.,Xa6aj,Z824,413302005
173,12C5.,FH: Ischaemic heart disease,Ya0VI,12C5.,Xa6aj,Z824,315622004
174,12C5.,FH: Ischaemic heart disease,Ya0VI,XE0oI,Xa6aj,Z824,416291000000108
175,12C5.,FH: Ischaemic heart disease,Ya0VI,XE0oI,Xa6aj,Z824,413302005
176,12C5.,FH: Ischaemic heart disease,Ya0VI,XE0oI,Xa6aj,Z824,315622004
177,12C6.,FH: Atherosclerosis,Ya01l,.12C6,12C6.,Z824,416291000000108
178,12C6.,FH: Atherosclerosis,Ya01l,.12C6,12C6.,Z824,413302005
179,12C6.,FH: Atherosclerosis,Ya01l,.12C6,12C6.,Z824,315622004
180,12C8.,FH: Congenital heart disease,Ya0Ve,.12C8,12C8.,Z824,416291000000108
181,12C8.,FH: Congenital heart disease,Ya0Ve,.12C8,12C8.,Z824,413302005
182,12C8.,FH: Congenital heart disease,Ya0Ve,.12C8,12C8.,Z824,315622004
183,12C8.,FH: Congenital heart disease,Ya0Ve,12J3.,12C8.,Z824,416291000000108
184,12C8.,FH: Congenital heart disease,Ya0Ve,12J3.,12C8.,Z824,413302005
185,12C8.,FH: Congenital heart disease,Ya0Ve,12J3.,12C8.,Z824,315622004
186,12J3.,FH: Congenital heart disease,Ya0Ve,.12C8,12C8.,Z824,416291000000108
187,12J3.,FH: Congenital heart disease,Ya0Ve,.12C8,12C8.,Z824,413302005
188,12J3.,FH: Congenital heart disease,Ya0Ve,.12C8,12C8.,Z824,315622004
189,12J3.,FH: Congenital heart disease,Ya0Ve,12J3.,12C8.,Z824,416291000000108
190,12J3.,FH: Congenital heart disease,Ya0Ve,12J3.,12C8.,Z824,413302005
191,12J3.,FH: Congenital heart disease,Ya0Ve,12J3.,12C8.,Z824,315622004
192,12C9.,FH: Thrombosis,YabsO,.12C9,XaCDM,Z824,416291000000108
193,12C9.,FH: Thrombosis,YabsO,.12C9,XaCDM,Z824,413302005
194,12C9.,FH: Thrombosis,YabsO,.12C9,XaCDM,Z824,315622004
195,12C9.,FH: Thrombosis,YabsO,12C9.,XaCDM,Z824,416291000000108
196,12C9.,FH: Thrombosis,YabsO,12C9.,XaCDM,Z824,413302005
197,12C9.,FH: Thrombosis,YabsO,12C9.,XaCDM,Z824,315622004
198,12CA.,FH myocardial infarction male first degree age known,YajSf,12CA.,XaI9x,Z824,416291000000108
199,12CA.,FH myocardial infarction male first degree age known,YajSf,12CA.,XaI9x,Z824,413302005
200,12CA.,FH myocardial infarction male first degree age known,YajSf,12CA.,XaI9x,Z824,315622004
201,12CB.,FH myocardial infarction male first degree age unknown,YajSg,12CB.,XaI9y,Z824,416291000000108
202,12CB.,FH myocardial infarction male first degree age unknown,YajSg,12CB.,XaI9y,Z824,413302005
203,12CB.,FH myocardial infarction male first degree age unknown,YajSg,12CB.,XaI9y,Z824,315622004
204,12CC.,FH myocardial infarction female first degree age known,YajSh,12CC.,XaI9z,Z824,416291000000108
205,12CC.,FH myocardial infarction female first degree age known,YajSh,12CC.,XaI9z,Z824,413302005
206,12CC.,FH myocardial infarction female first degree age known,YajSh,12CC.,XaI9z,Z824,315622004
207,12CD.,FH myocardial infarction female first degree age unknown,YajSi,12CD.,XaIA0,Z824,416291000000108
208,12CD.,FH myocardial infarction female first degree age unknown,YajSi,12CD.,XaIA0,Z824,413302005
209,12CD.,FH myocardial infarction female first degree age unknown,YajSi,12CD.,XaIA0,Z824,315622004
210,12CF.,FH angina male first degree age unknown,YajSl,12CF.,XaIA3,Z824,416291000000108
211,12CF.,FH angina male first degree age unknown,YajSl,12CF.,XaIA3,Z824,413302005
212,12CF.,FH angina male first degree age unknown,YajSl,12CF.,XaIA3,Z824,315622004
213,12CH.,FH angina female first degree age unknown,YajSn,12CH.,XaIA5,Z824,416291000000108
214,12CH.,FH angina female first degree age unknown,YajSn,12CH.,XaIA5,Z824,413302005
215,12CH.,FH angina female first degree age unknown,YajSn,12CH.,XaIA5,Z824,315622004
216,12CI.,FH: premature coronary heart disease,Yakk6,12CI.,XaILC,Z824,416291000000108
217,12CI.,FH: premature coronary heart disease,Yakk6,12CI.,XaILC,Z824,413302005
218,12CI.,FH: premature coronary heart disease,Yakk6,12CI.,XaILC,Z824,315622004
219,12CJ.,FH: Cardiomyopathy,YaksG,.12CJ,XaIQx,Z824,416291000000108
220,12CJ.,FH: Cardiomyopathy,YaksG,.12CJ,XaIQx,Z824,413302005
221,12CJ.,FH: Cardiomyopathy,YaksG,.12CJ,XaIQx,Z824,315622004
222,12CJ.,FH: Cardiomyopathy,YaksG,12CJ.,XaIQx,Z824,416291000000108
223,12CJ.,FH: Cardiomyopathy,YaksG,12CJ.,XaIQx,Z824,413302005
224,12CJ.,FH: Cardiomyopathy,YaksG,12CJ.,XaIQx,Z824,315622004
225,12CK.,FH: Aortic aneurysm,YalU2,.12CK,XaIq8,Z824,416291000000108
226,12CK.,FH: Aortic aneurysm,YalU2,.12CK,XaIq8,Z824,413302005
227,12CK.,FH: Aortic aneurysm,YalU2,.12CK,XaIq8,Z824,315622004
228,12CK.,FH: Aortic aneurysm,YalU2,12CK.,XaIq8,Z824,416291000000108
229,12CK.,FH: Aortic aneurysm,YalU2,12CK.,XaIq8,Z824,413302005
230,12CK.,FH: Aortic aneurysm,YalU2,12CK.,XaIq8,Z824,315622004
231,12CM.,FH: Angina in 1st degree male relative <55 years,Yalt2,12CM.,XaIyZ,Z824,416291000000108
232,12CM.,FH: Angina in 1st degree male relative <55 years,Yalt2,12CM.,XaIyZ,Z824,413302005
233,12CM.,FH: Angina in 1st degree male relative <55 years,Yalt2,12CM.,XaIyZ,Z824,315622004
234,12CN.,FH: Myocardial infarct in 1st degree female relative <65 yrs,Yalt4,12CN.,XaIya,Z824,416291000000108
235,12CN.,FH: Myocardial infarct in 1st degree female relative <65 yrs,Yalt4,12CN.,XaIya,Z824,413302005
236,12CN.,FH: Myocardial infarct in 1st degree female relative <65 yrs,Yalt4,12CN.,XaIya,Z824,315622004
237,12CP.,FH: Myocardial infarct in 1st degree male relative <55 years,Yalt6,12CP.,XaIyb,Z824,416291000000108
238,12CP.,FH: Myocardial infarct in 1st degree male relative <55 years,Yalt6,12CP.,XaIyb,Z824,413302005
239,12CP.,FH: Myocardial infarct in 1st degree male relative <55 years,Yalt6,12CP.,XaIyb,Z824,315622004
240,12CT.,Family history of myocarditis,Yar6L,.12CT,XaOc8,Z824,416291000000108
241,12CT.,Family history of myocarditis,Yar6L,.12CT,XaOc8,Z824,413302005
242,12CT.,Family history of myocarditis,Yar6L,.12CT,XaOc8,Z824,315622004
243,12CT.,Family history of myocarditis,Yar6L,12CT.,XaOc8,Z824,416291000000108
244,12CT.,Family history of myocarditis,Yar6L,12CT.,XaOc8,Z824,413302005
245,12CT.,Family history of myocarditis,Yar6L,12CT.,XaOc8,Z824,315622004
246,12CZ.,FH: CVS disease NOS,Ya01n,.12CZ,12CZ.,Z824,416291000000108
247,12CZ.,FH: CVS disease NOS,Ya01n,.12CZ,12CZ.,Z824,413302005
248,12CZ.,FH: CVS disease NOS,Ya01n,.12CZ,12CZ.,Z824,315622004
249,12Ca.,FH: Long QT syndrome,YawL2,12Ca.,XaaUe,Z824,416291000000108
250,12Ca.,FH: Long QT syndrome,YawL2,12Ca.,XaaUe,Z824,413302005
251,12Ca.,FH: Long QT syndrome,YawL2,12Ca.,XaaUe,Z824,315622004
252,12G1.,FH: Raised B.P. in pregnancy,Ya02D,.12G1,12G1.,Z824,416291000000108
253,12G1.,FH: Raised B.P. in pregnancy,Ya02D,.12G1,12G1.,Z824,413302005
254,12G1.,FH: Raised B.P. in pregnancy,Ya02D,.12G1,12G1.,Z824,315622004
255,ZV173,[V]Family history of ischaemic heart disease,Ya0fO,ZV173,XE24Z,Z824,416291000000108
256,ZV173,[V]Family history of ischaemic heart disease,Ya0fO,ZV173,XE24Z,Z824,413302005
257,ZV173,[V]Family history of ischaemic heart disease,Ya0fO,ZV173,XE24Z,Z824,315622004
258,ZV173,[V]Family history of ischaemic heart disease (IHD),Ya0fP,ZV173,XE24Z,Z824,416291000000108
259,ZV173,[V]Family history of ischaemic heart disease (IHD),Ya0fP,ZV173,XE24Z,Z824,413302005
260,ZV173,[V]Family history of ischaemic heart disease (IHD),Ya0fP,ZV173,XE24Z,Z824,315622004
261,ZV173,[V]Family history of myocardial infarction,YMKPX,ZV173,XE24Z,Z824,416291000000108
262,ZV173,[V]Family history of myocardial infarction,YMKPX,ZV173,XE24Z,Z824,413302005
263,ZV173,[V]Family history of myocardial infarction,YMKPX,ZV173,XE24Z,Z824,315622004
264,12D..,FH: Respiratory disease,Ya01o,.12D.,XE0oJ,Z836,414415007
265,12D..,FH: Respiratory disease,Ya01o,12D..,XE0oJ,Z836,414415007
266,12D3.,FH: Occupational lung dis.,Ya01r,.12D3,12D3.,Z836,414415007
267,12D4.,FH: Hay fever,Ya01s,.12D4,12D4.,Z836,414415007
268,12DZ.,FH: Respiratory disease NOS,Ya01t,.12DZ,12DZ.,Z836,414415007
269,ZV19L,[V]Family history of hay fever,YaeDy,ZV19L,12D4.,Z836,414415007
270,12F..,FH: Genitourinary disease,Ya021,.12F.,XE0oP,Z842,160392000
271,12F..,FH: Genitourinary disease,Ya021,.12F.,XE0oP,Z842,430808009
272,12F..,FH: Genitourinary disease,Ya021,.12F.,XE0oP,Z842,160393005
273,12F..,FH: Genitourinary disease,Ya021,.12F.,XE0oP,Z842,315830001
274,12F..,FH: Genitourinary disease,Ya021,12F..,XE0oP,Z842,160392000
275,12F..,FH: Genitourinary disease,Ya021,12F..,XE0oP,Z842,430808009
276,12F..,FH: Genitourinary disease,Ya021,12F..,XE0oP,Z842,160393005
277,12F..,FH: Genitourinary disease,Ya021,12F..,XE0oP,Z842,315830001
278,12F..,FH: Gynae. problem,Ya0VV,12F..,XM1K7,Z842,160392000
279,12F..,FH: Gynae. problem,Ya0VV,12F..,XM1K7,Z842,430808009
280,12F..,FH: Gynae. problem,Ya0VV,12F..,XM1K7,Z842,160393005
281,12F..,FH: Gynae. problem,Ya0VV,12F..,XM1K7,Z842,315830001
282,12F..,FH: Menses problem,Ya0VW,12F..,12F5.,Z842,160392000
283,12F..,FH: Menses problem,Ya0VW,12F..,12F5.,Z842,430808009
284,12F..,FH: Menses problem,Ya0VW,12F..,12F5.,Z842,160393005
285,12F..,FH: Menses problem,Ya0VW,12F..,12F5.,Z842,315830001
286,12F..,FH: Period problem,Ya0VX,12F..,12F5.,Z842,160392000
287,12F..,FH: Period problem,Ya0VX,12F..,12F5.,Z842,430808009
288,12F..,FH: Period problem,Ya0VX,12F..,12F5.,Z842,160393005
289,12F..,FH: Period problem,Ya0VX,12F..,12F5.,Z842,315830001
290,12F2.,FH: Male infertility,Ya023,.12F2,12F2.,Z842,160392000
291,12F2.,FH: Male infertility,Ya023,.12F2,12F2.,Z842,430808009
292,12F2.,FH: Male infertility,Ya023,.12F2,12F2.,Z842,160393005
293,12F2.,FH: Male infertility,Ya023,.12F2,12F2.,Z842,315830001
294,12F3.,FH: Female infertility,Ya024,.12F3,12F3.,Z842,160392000
295,12F3.,FH: Female infertility,Ya024,.12F3,12F3.,Z842,430808009
296,12F3.,FH: Female infertility,Ya024,.12F3,12F3.,Z842,160393005
297,12F3.,FH: Female infertility,Ya024,.12F3,12F3.,Z842,315830001
298,12F4.,FH: Breast disease,Ya025,.12F4,12F4.,Z842,160392000
299,12F4.,FH: Breast disease,Ya025,.12F4,12F4.,Z842,430808009
300,12F4.,FH: Breast disease,Ya025,.12F4,12F4.,Z842,160393005
301,12F4.,FH: Breast disease,Ya025,.12F4,12F4.,Z842,315830001
302,12F5.,FH: Menstrual disorder,Ya026,.12F5,12F5.,Z842,160392000
303,12F5.,FH: Menstrual disorder,Ya026,.12F5,12F5.,Z842,430808009
304,12F5.,FH: Menstrual disorder,Ya026,.12F5,12F5.,Z842,160393005
305,12F5.,FH: Menstrual disorder,Ya026,.12F5,12F5.,Z842,315830001
306,12F9.,FH: Late menopause,Ya02A,.12F9,12F9.,Z842,160392000
307,12F9.,FH: Late menopause,Ya02A,.12F9,12F9.,Z842,430808009
308,12F9.,FH: Late menopause,Ya02A,.12F9,12F9.,Z842,160393005
309,12F9.,FH: Late menopause,Ya02A,.12F9,12F9.,Z842,315830001
310,12FZ.,FH: Genitourinary dis. NOS,Ya02B,.12FZ,XE0oQ,Z842,160392000
311,12FZ.,FH: Genitourinary dis. NOS,Ya02B,.12FZ,XE0oQ,Z842,430808009
312,12FZ.,FH: Genitourinary dis. NOS,Ya02B,.12FZ,XE0oQ,Z842,160393005
313,12FZ.,FH: Genitourinary dis. NOS,Ya02B,.12FZ,XE0oQ,Z842,315830001
